,name,age,batting_style,bowling_style,playing_roles
0,Kesavarajugari Anjali Sarvani,25y 337d,Left hand Bat,Left arm Medium,Bowler
1,Arshdeep Singh,24y 145d,Left hand Bat,Left arm Medium fast,Bowler
2,Ravichandran Ashwin,36y 286d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
3,Avesh Khan,26y 199d,Right hand Bat,Right arm Fast medium,Bowler
4,Kona Srikar Bharat,29y 270d,Right hand Bat,NA,Wicketkeeper Batter
5,Taniya Bhatia,25y 214d,Right hand Bat,NA,Wicketkeeper Batter
6,Yastika Harish Bhatia,22y 241d,Left hand Bat,NA,Middle order Batter
7,Jasprit Jasbirsingh Bumrah,29y 206d,Right hand Bat,Right arm Fast,Bowler
8,Yuzvendra Singh Chahal,32y 342d,Right hand Bat,Legbreak Googly,Bowler
9,Deepak Lokandersingh Chahar,30y 327d,Right hand Bat,Right arm Medium,Bowler
10,Harleen Deol,25y 9d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Middle order Batter
11,Shikhar Dhawan,37y 207d,Left hand Bat,Right arm Offbreak,Opening Batter
12,Ruturaj Dashrat Gaikwad,26y 150d,Right hand Bat,Right arm Offbreak,Batter
13,Rajeshwari Shivanand Gayakwad,32y 29d,Right hand Bat,Slow Left arm Orthodox,Bowler
14,Richa Manabendra Ghosh,19y 275d,Right arm Medium,NA,Wicketkeeper Batter
15,Jhulan Nishit Goswami,40y 217d,Right hand Bat,Right arm Fast medium,Bowler
16,Dayalan Hemalatha,28y 274d,Right hand Bat,Right arm Offbreak,Top order Batter
17,Deepak Jagbir Hooda,28y 72d,Right hand Bat,Right arm Offbreak,Allrounder
18,Ishan Pranav Kumar Pandey Kishan,24y 347d,Left hand Bat,NA,Wicketkeeper Batter
19,Shreyas Santosh Iyer,28y 206d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
20,Ravindrasinh Anirudhsinh Jadeja,34y 206d,Left hand Bat,Slow Left arm Orthodox,Allrounder
21,Krishnakumar Dinesh Karthik,38y 29d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
22,Harmanpreet Kaur Bhullar,34y 114d,Right hand Bat,Right arm Offbreak,Allrounder
23,Amanjot Bhupinder Kaur,23y 180d,Right hand Bat,Right arm Medium,Batting Allrounder
24,Virat Kohli,34y 237d,Right hand Bat,Right arm Medium,Top order Batter
25,Kuldeep Yadav,28y 198d,Left hand Bat,Left arm Wrist spin,Bowler
26,Bhuvneshwar Kumar Singh,33y 145d,Right hand Bat,Right arm Medium,Bowler
27,Smriti Shriniwas Mandhana,26y 347d,Left hand Bat,Right arm Offbreak,Opening Batter
28,Sabbhineni Meghana,27y 23d,Right hand Bat,Right arm Medium,Opening Batter
29,Meghna Singh,29y 12d,Right hand Bat,Right arm Medium,Bowler
30,Mohammed Shami Ahmed,32y 300d,Right hand Bat,Right arm Fast,Bowler
31,Mohammed Siraj,29y 109d,Right hand Bat,Right arm Fast,Bowler
32,Kiran Prabhu Navgire,28y 285d,Right hand Bat,NA,Middle order Batter
33,Shikha Subas Pandey,34y 49d,Right hand Bat,Right arm Medium,Allrounder
34,Hardik Himanshu Pandya,29y 262d,Right hand Bat,Right arm Medium fast,Allrounder
35,Rishabh Rajendra Pant,25y 269d,Left hand Bat,NA,Wicketkeeper Batter
36,Axar Rajeshbhai Patel,29y 161d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
37,Harshal Vikram Patel,32y 219d,Right hand Bat,Right arm Medium,Bowler
38,Muralikrishna Prasidh Krishna,27y 131d,Right hand Bat,Right arm Fast medium,Bowler
39,Cheteshwar Arvind Pujara,35y 156d,Right hand Bat,Legbreak,Top order Batter
